# station,arrival,departure,stopType,exchangeType,staffed,meets,remark
Uö,,12:38,Mandatory,EmbarkingAndDisembarking,true,74,
Fl,,,Mandatory,Embarking,false,,
Ås,,,Optional,Embarking,false,,
Sa,,,Optional,EmbarkingAndDisembarking,false,,
B,,13:00,Mandatory,EmbarkingAndDisembarking,false,,
Ga,,,Optional,EmbarkingAndDisembarking,false,,
Ml,13:10,13:32,Mandatory,EmbarkingAndDisembarking,true,62,
Lh,,,Optional,EmbarkingAndDisembarking,false,,
Slä,,13:37,Mandatory,EmbarkingAndDisembarking,false,,Bussanslutning
Löt,,,Optional,EmbarkingAndDisembarking,false,,
Lna,13:44,13:47,Mandatory,EmbarkingAndDisembarking,false,,
Alg,,14:00,Mandatory,EmbarkingAndDisembarking,false,,
Mg,,,Optional,EmbarkingAndDisembarking,false,,
Frg,14:15,,Mandatory,EmbarkingAndDisembarking,true,,
