# station,arrival,departure,stopType,exchangeType,staffed,meets,remark
Uö,,10:00,Mandatory,EmbarkingAndDisembarking,true,,
Fl,,,Mandatory,Embarking,false,,
Ås,,,Optional,Embarking,false,,
Sa,,,Optional,EmbarkingAndDisembarking,false,,
B,,10:23,Mandatory,EmbarkingAndDisembarking,false,,
Ga,,,Optional,EmbarkingAndDisembarking,false,,
Ml,10:35,,Mandatory,EmbarkingAndDisembarking,true,93Y,
